date,misure camicie,isPartial
2018-01-07,70,False
2018-01-14,0,False
2018-01-21,34,False
2018-01-28,0,False
2018-02-04,67,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,34,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,34,False
2018-04-15,0,False
2018-04-22,72,False
2018-04-29,70,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,35,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,34,False
2018-06-24,0,False
2018-07-01,34,False
2018-07-08,34,False
2018-07-15,70,False
2018-07-22,35,False
2018-07-29,36,False
2018-08-05,0,False
2018-08-12,39,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,34,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,34,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,34,False
2018-10-28,0,False
2018-11-04,66,False
2018-11-11,0,False
2018-11-18,34,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,68,False
2019-01-13,100,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,32,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,35,False
2019-03-10,34,False
2019-03-17,0,False
2019-03-24,34,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,73,False
2019-04-28,34,False
2019-05-05,0,False
2019-05-12,33,False
2019-05-19,32,False
2019-05-26,31,False
2019-06-02,33,False
2019-06-09,34,False
2019-06-16,0,False
2019-06-23,34,False
2019-06-30,0,False
2019-07-07,33,False
2019-07-14,0,False
2019-07-21,35,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,33,False
2019-09-01,62,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,31,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,64,False
2019-10-20,31,False
2019-10-27,62,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,30,False
2019-11-24,0,False
2019-12-01,32,False
2019-12-08,32,False
2019-12-15,32,False
2019-12-22,37,False
2019-12-29,35,False
2020-01-05,31,False
2020-01-12,30,False
2020-01-19,59,False
2020-01-26,29,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,28,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,27,False
2020-04-12,27,False
2020-04-19,26,False
2020-04-26,45,True
