date,stage intensif anglais,isPartial
2018-01-07,43,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,29,False
2018-02-04,28,False
2018-02-11,43,False
2018-02-18,30,False
2018-02-25,86,False
2018-03-04,28,False
2018-03-11,72,False
2018-03-18,58,False
2018-03-25,29,False
2018-04-01,0,False
2018-04-08,29,False
2018-04-15,0,False
2018-04-22,59,False
2018-04-29,0,False
2018-05-06,31,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,43,False
2018-06-03,57,False
2018-06-10,55,False
2018-06-17,0,False
2018-06-24,29,False
2018-07-01,42,False
2018-07-08,30,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,0,False
2018-08-05,32,False
2018-08-12,32,False
2018-08-19,0,False
2018-08-26,30,False
2018-09-02,30,False
2018-09-09,59,False
2018-09-16,29,False
2018-09-23,59,False
2018-09-30,29,False
2018-10-07,30,False
2018-10-14,29,False
2018-10-21,30,False
2018-10-28,0,False
2018-11-04,56,False
2018-11-11,29,False
2018-11-18,28,False
2018-11-25,28,False
2018-12-02,29,False
2018-12-09,29,False
2018-12-16,59,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,55,False
2019-01-27,55,False
2019-02-03,55,False
2019-02-10,58,False
2019-02-17,29,False
2019-02-24,58,False
2019-03-03,42,False
2019-03-10,29,False
2019-03-17,88,False
2019-03-24,0,False
2019-03-31,57,False
2019-04-07,0,False
2019-04-14,59,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,56,False
2019-05-12,28,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,40,False
2019-06-09,27,False
2019-06-16,28,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,28,False
2019-07-14,0,False
2019-07-21,30,False
2019-07-28,31,False
2019-08-04,31,False
2019-08-11,30,False
2019-08-18,45,False
2019-08-25,28,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,27,False
2019-09-22,53,False
2019-09-29,52,False
2019-10-06,53,False
2019-10-13,0,False
2019-10-20,40,False
2019-10-27,0,False
2019-11-03,51,False
2019-11-10,26,False
2019-11-17,0,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,26,False
2019-12-22,0,False
2019-12-29,55,False
2020-01-05,25,False
2020-01-12,0,False
2020-01-19,100,False
2020-01-26,24,False
2020-02-02,50,False
2020-02-09,50,False
2020-02-16,0,False
2020-02-23,72,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,23,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,21,False
2020-05-10,0,False
2020-05-17,28,True
