date,yoga enfant,isPartial
2018-01-07,44,False
2018-01-14,0,False
2018-01-21,44,False
2018-01-28,44,False
2018-02-04,0,False
2018-02-11,43,False
2018-02-18,45,False
2018-02-25,0,False
2018-03-04,44,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,48,False
2018-04-29,0,False
2018-05-06,47,False
2018-05-13,45,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,43,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,49,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,49,False
2018-09-02,47,False
2018-09-09,0,False
2018-09-16,47,False
2018-09-23,95,False
2018-09-30,47,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,47,False
2018-11-04,90,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,45,False
2018-12-02,0,False
2018-12-09,45,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,100,False
2019-01-06,0,False
2019-01-13,45,False
2019-01-20,0,False
2019-01-27,43,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,47,False
2019-03-10,45,False
2019-03-17,92,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,44,False
2019-04-14,83,False
2019-04-21,42,False
2019-04-28,47,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,43,False
2019-05-26,44,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,44,False
2019-06-30,45,False
2019-07-07,43,False
2019-07-14,45,False
2019-07-21,44,False
2019-07-28,0,False
2019-08-04,43,False
2019-08-11,0,False
2019-08-18,43,False
2019-08-25,44,False
2019-09-01,43,False
2019-09-08,0,False
2019-09-15,54,False
2019-09-22,41,False
2019-09-29,0,False
2019-10-06,36,False
2019-10-13,71,False
2019-10-20,0,False
2019-10-27,38,False
2019-11-03,0,False
2019-11-10,76,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,34,False
2019-12-08,68,False
2019-12-15,0,False
2019-12-22,39,False
2019-12-29,38,False
2020-01-05,33,False
2020-01-12,33,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,35,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,32,False
2020-03-15,81,False
2020-03-22,74,False
2020-03-29,74,False
2020-04-05,60,False
2020-04-12,40,False
2020-04-19,100,False
2020-04-26,41,False
2020-05-03,86,False
2020-05-10,44,False
2020-05-17,38,True
