date,Traiteur,traiteur
2018-01-07,,0.11
2018-01-14,,0.25
2018-01-21,,0.24
2018-01-28,,0.19
2018-02-04,,0.29
2018-02-11,,0.3
2018-02-18,,0.22
2018-02-25,,0.21
2018-03-04,,0.23
2018-03-11,,0.23
2018-03-18,,0.25
2018-03-25,,0.28
2018-04-01,,0.16
2018-04-08,,0.19
2018-04-15,,0.17
2018-04-22,,0.21
2018-04-29,,0.29
2018-05-06,,0.21
2018-05-13,,0.21
2018-05-20,,0.25
2018-05-27,,0.21
2018-06-03,,0.24
2018-06-10,,0.19
2018-06-17,,0.24
2018-06-24,,0.22
2018-07-01,,0.34
2018-07-08,,0.21
2018-07-15,,0.25
2018-07-22,,0.15
2018-07-29,,0.13
2018-08-05,,0.28
2018-08-12,,0.17
2018-08-19,,0.26
2018-08-26,,0.3
2018-09-02,,0.25
2018-09-09,,0.19
2018-09-16,,0.15
2018-09-23,,0.25
2018-09-30,,0.14
2018-10-07,,0.17
2018-10-14,,0.25
2018-10-21,,0.23
2018-10-28,,0.18
2018-11-04,,0.24
2018-11-11,,0.21
2018-11-18,,0.25
2018-11-25,,0.36
2018-12-02,,0.33
2018-12-09,,0.56
2018-12-16,,0.89
2018-12-23,,0.76
2018-12-30,,0.27
2019-01-06,,0.27
2019-01-13,,0.22
2019-01-20,,0.23
2019-01-27,,0.23
2019-02-03,,0.12
2019-02-10,,0.33
2019-02-17,,0.19
2019-02-24,,0.21
2019-03-03,,0.27
2019-03-10,,0.12
2019-03-17,,0.27
2019-03-24,,0.16
2019-03-31,,0.17
2019-04-07,,0.23
2019-04-14,,0.19
2019-04-21,,0.3
2019-04-28,,0.19
2019-05-05,,0.24
2019-05-12,,0.21
2019-05-19,,0.18
2019-05-26,,0.28
2019-06-02,,0.24
2019-06-09,,0.34
2019-06-16,,0.28
2019-06-23,,0.22
2019-06-30,,0.3
2019-07-07,,0.25
2019-07-14,,0.21
2019-07-21,,0.27
2019-07-28,,0.22
2019-08-04,,0.18
2019-08-11,,0.32
2019-08-18,,0.24
2019-08-25,,0.31
2019-09-01,,0.27
2019-09-08,,0.22
2019-09-15,,0.28
2019-09-22,,0.26
2019-09-29,,0.19
2019-10-06,,0.27
2019-10-13,,0.35
2019-10-20,,0.21
2019-10-27,,0.3
2019-11-03,,0.26
2019-11-10,,0.3
2019-11-17,,0.31
2019-11-24,,0.35
2019-12-01,,0.49
2019-12-08,,0.54
2019-12-15,,1.0
2019-12-22,,0.6
2019-12-29,,0.35
2020-01-05,,0.27
2020-01-12,,0.23
2020-01-19,,0.25
2020-01-26,,0.23
2020-02-02,,0.28
2020-02-09,,0.23
2020-02-16,,0.3
2020-02-23,,0.17
2020-03-01,,0.28
2020-03-08,,0.18
2020-03-15,,0.16
2020-03-22,,0.2
2020-03-29,,0.1
2020-04-05,,0.13
2020-04-12,,0.12
2020-04-19,,0.11
2020-04-26,,0.15
2020-05-03,,0.13
2020-05-10,,0.18
2020-05-17,,0.1
