date,means
2018-01-01,12.5
2018-02-01,0.0
2018-03-01,12.5
2018-04-01,25.0
2018-05-01,25.0
2018-06-01,37.5
2018-07-01,25.0
2018-08-01,25.0
2018-09-01,62.5
2018-10-01,37.5
2018-11-01,12.5
2018-12-01,37.5
2019-01-01,50.0
2019-02-01,12.5
2019-03-01,37.5
2019-04-01,37.5
2019-05-01,37.5
2019-06-01,100.0
2019-07-01,62.5
2019-08-01,25.0
2019-09-01,37.5
2019-10-01,0.0
2019-11-01,37.5
2019-12-01,25.0
2020-01-01,75.0
2020-02-01,12.5
2020-03-01,0.0
2020-04-01,25.0
2020-05-01,0.0
2020-06-01,0.0
