date,peinados para boda,isPartial
2018-01-07,12,False
2018-01-14,12,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,12,False
2018-02-18,12,False
2018-02-25,12,False
2018-03-04,0,False
2018-03-11,12,False
2018-03-18,19,False
2018-03-25,0,False
2018-04-01,13,False
2018-04-08,18,False
2018-04-15,12,False
2018-04-22,12,False
2018-04-29,12,False
2018-05-06,0,False
2018-05-13,61,False
2018-05-20,19,False
2018-05-27,36,False
2018-06-03,12,False
2018-06-10,29,False
2018-06-17,38,False
2018-06-24,12,False
2018-07-01,25,False
2018-07-08,12,False
2018-07-15,100,False
2018-07-22,12,False
2018-07-29,13,False
2018-08-05,26,False
2018-08-12,14,False
2018-08-19,34,False
2018-08-26,44,False
2018-09-02,49,False
2018-09-09,19,False
2018-09-16,36,False
2018-09-23,18,False
2018-09-30,12,False
2018-10-07,25,False
2018-10-14,12,False
2018-10-21,0,False
2018-10-28,13,False
2018-11-04,12,False
2018-11-11,0,False
2018-11-18,12,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,12,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,36,False
2019-02-10,12,False
2019-02-17,12,False
2019-02-24,12,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,12,False
2019-03-24,24,False
2019-03-31,12,False
2019-04-07,12,False
2019-04-14,25,False
2019-04-21,12,False
2019-04-28,11,False
2019-05-05,23,False
2019-05-12,17,False
2019-05-19,11,False
2019-05-26,22,False
2019-06-02,23,False
2019-06-09,11,False
2019-06-16,12,False
2019-06-23,18,False
2019-06-30,18,False
2019-07-07,12,False
2019-07-14,12,False
2019-07-21,0,False
2019-07-28,19,False
2019-08-04,26,False
2019-08-11,13,False
2019-08-18,0,False
2019-08-25,12,False
2019-09-01,34,False
2019-09-08,22,False
2019-09-15,17,False
2019-09-22,11,False
2019-09-29,16,False
2019-10-06,11,False
2019-10-13,11,False
2019-10-20,11,False
2019-10-27,0,False
2019-11-03,11,False
2019-11-10,0,False
2019-11-17,11,False
2019-11-24,11,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,10,False
2020-01-19,10,False
2020-01-26,10,False
2020-02-02,11,False
2020-02-09,11,False
2020-02-16,21,False
2020-02-23,15,False
2020-03-01,0,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
