date,Yoga
2018-01-07,0.35
2018-01-14,0.425
2018-01-21,0.4
2018-01-28,0.4
2018-02-04,0.345
2018-02-11,0.27
2018-02-18,0.34
2018-02-25,0.34
2018-03-04,0.37
2018-03-11,0.425
2018-03-18,0.47
2018-03-25,0.325
2018-04-01,0.325
2018-04-08,0.35
2018-04-15,0.3
2018-04-22,0.36
2018-04-29,0.415
2018-05-06,0.325
2018-05-13,0.37
2018-05-20,0.32
2018-05-27,0.38
2018-06-03,0.355
2018-06-10,0.315
2018-06-17,0.405
2018-06-24,0.365
2018-07-01,0.3
2018-07-08,0.31
2018-07-15,0.315
2018-07-22,0.39
2018-07-29,0.32
2018-08-05,0.39
2018-08-12,0.405
2018-08-19,0.52
2018-08-26,0.59
2018-09-02,0.69
2018-09-09,0.61
2018-09-16,0.505
2018-09-23,0.48
2018-09-30,0.4
2018-10-07,0.475
2018-10-14,0.47
2018-10-21,0.31
2018-10-28,0.37
2018-11-04,0.36
2018-11-11,0.335
2018-11-18,0.49
2018-11-25,0.465
2018-12-02,0.34
2018-12-09,0.345
2018-12-16,0.305
2018-12-23,0.32
2018-12-30,0.415
2019-01-06,0.43
2019-01-13,0.395
2019-01-20,0.42
2019-01-27,0.39
2019-02-03,0.355
2019-02-10,0.355
2019-02-17,0.405
2019-02-24,0.36
2019-03-03,0.495
2019-03-10,0.5
2019-03-17,0.43
2019-03-24,0.39
2019-03-31,0.38
2019-04-07,0.425
2019-04-14,0.32
2019-04-21,0.29
2019-04-28,0.41
2019-05-05,0.365
2019-05-12,0.345
2019-05-19,0.335
2019-05-26,0.32
2019-06-02,0.325
2019-06-09,0.34
2019-06-16,0.525
2019-06-23,0.395
2019-06-30,0.32
2019-07-07,0.33
2019-07-14,0.37
2019-07-21,0.355
2019-07-28,0.385
2019-08-04,0.38
2019-08-11,0.39
2019-08-18,0.465
2019-08-25,0.53
2019-09-01,0.71
2019-09-08,0.665
2019-09-15,0.715
2019-09-22,0.605
2019-09-29,0.435
2019-10-06,0.445
2019-10-13,0.405
2019-10-20,0.345
2019-10-27,0.445
2019-11-03,0.355
2019-11-10,0.395
2019-11-17,0.38
2019-11-24,0.405
2019-12-01,0.43
2019-12-08,0.32
2019-12-15,0.36
2019-12-22,0.41
2019-12-29,0.385
2020-01-05,0.435
2020-01-12,0.45
2020-01-19,0.445
2020-01-26,0.4
2020-02-02,0.42
2020-02-09,0.37
2020-02-16,0.44
2020-02-23,0.36
2020-03-01,0.43
2020-03-08,0.315
2020-03-15,0.58
2020-03-22,1.0
2020-03-29,0.87
2020-04-05,0.79
2020-04-12,0.75
2020-04-19,0.685
2020-04-26,0.67
2020-05-03,0.56
2020-05-10,0.525
2020-05-17,0.445
2020-05-24,0.325
2020-05-31,0.39
2020-06-07,0.38
2020-06-14,0.365
2020-06-21,0.44
