date,moustiquaire lit,isPartial
2018-01-07,24,False
2018-01-14,23,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,72,False
2018-02-18,24,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,25,False
2018-04-01,0,False
2018-04-08,24,False
2018-04-15,38,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,27,False
2018-05-13,0,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,47,False
2018-06-17,25,False
2018-06-24,25,False
2018-07-01,32,False
2018-07-08,100,False
2018-07-15,53,False
2018-07-22,53,False
2018-07-29,26,False
2018-08-05,27,False
2018-08-12,27,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,26,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,26,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,23,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,23,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,49,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,23,False
2019-03-17,49,False
2019-03-24,0,False
2019-03-31,24,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,24,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,25,False
2019-05-19,0,False
2019-05-26,25,False
2019-06-02,0,False
2019-06-09,23,False
2019-06-16,48,False
2019-06-23,72,False
2019-06-30,0,False
2019-07-07,24,False
2019-07-14,24,False
2019-07-21,25,False
2019-07-28,51,False
2019-08-04,50,False
2019-08-11,0,False
2019-08-18,25,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,23,False
2019-09-22,22,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,21,False
2019-11-24,20,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,24,False
2019-12-29,23,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,20,False
2020-02-09,20,False
2020-02-16,21,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,20,False
2020-03-15,18,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,17,False
2020-04-12,0,False
2020-04-19,34,False
2020-04-26,0,False
2020-05-03,24,False
2020-05-10,18,False
2020-05-17,19,False
2020-05-24,19,False
2020-05-31,44,False
2020-06-07,36,False
2020-06-14,36,False
2020-06-21,19,False
2020-06-28,19,False
2020-07-05,27,False
2020-07-12,21,False
2020-07-19,28,False
