date,Glasmacher,isPartial
2018-01-07,31,False
2018-01-14,31,False
2018-01-21,76,False
2018-01-28,0,False
2018-02-04,31,False
2018-02-11,0,False
2018-02-18,32,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,63,False
2018-03-18,48,False
2018-03-25,34,False
2018-04-01,0,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,65,False
2018-04-29,33,False
2018-05-06,67,False
2018-05-13,0,False
2018-05-20,34,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,31,False
2018-06-17,31,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,32,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,34,False
2018-09-02,0,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,32,False
2018-09-30,32,False
2018-10-07,0,False
2018-10-14,62,False
2018-10-21,31,False
2018-10-28,31,False
2018-11-04,30,False
2018-11-11,31,False
2018-11-18,45,False
2018-11-25,30,False
2018-12-02,60,False
2018-12-09,30,False
2018-12-16,47,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,88,False
2019-01-13,28,False
2019-01-20,100,False
2019-01-27,58,False
2019-02-03,29,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,0,False
2019-03-03,30,False
2019-03-10,0,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,30,False
2019-04-14,0,False
2019-04-21,32,False
2019-04-28,0,False
2019-05-05,30,False
2019-05-12,30,False
2019-05-19,29,False
2019-05-26,46,False
2019-06-02,0,False
2019-06-09,32,False
2019-06-16,0,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,29,False
2019-07-14,0,False
2019-07-21,47,False
2019-07-28,30,False
2019-08-04,32,False
2019-08-11,32,False
2019-08-18,33,False
2019-08-25,32,False
2019-09-01,30,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,29,False
2019-09-29,29,False
2019-10-06,0,False
2019-10-13,29,False
2019-10-20,28,False
2019-10-27,38,False
2019-11-03,27,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,43,False
2019-12-08,28,False
2019-12-15,58,False
2019-12-22,33,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,53,False
2020-01-19,36,False
2020-01-26,0,False
2020-02-02,27,False
2020-02-09,34,False
2020-02-16,27,False
2020-02-23,54,False
2020-03-01,26,False
2020-03-08,50,False
2020-03-15,40,False
2020-03-22,0,False
2020-03-29,36,False
2020-04-05,27,False
2020-04-12,51,False
2020-04-19,25,False
2020-04-26,36,False
2020-05-03,74,False
2020-05-10,50,False
