date,Wohnung streichen,isPartial
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,0,False
2018-02-04,27,False
2018-02-11,27,False
2018-02-18,54,False
2018-02-25,0,False
2018-03-04,27,False
2018-03-11,0,False
2018-03-18,28,False
2018-03-25,0,False
2018-04-01,30,False
2018-04-08,29,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,29,False
2018-05-13,0,False
2018-05-20,29,False
2018-05-27,0,False
2018-06-03,29,False
2018-06-10,28,False
2018-06-17,86,False
2018-06-24,30,False
2018-07-01,30,False
2018-07-08,30,False
2018-07-15,0,False
2018-07-22,89,False
2018-07-29,29,False
2018-08-05,28,False
2018-08-12,29,False
2018-08-19,38,False
2018-08-26,28,False
2018-09-02,55,False
2018-09-09,27,False
2018-09-16,56,False
2018-09-23,28,False
2018-09-30,30,False
2018-10-07,29,False
2018-10-14,28,False
2018-10-21,36,False
2018-10-28,27,False
2018-11-04,26,False
2018-11-11,55,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,29,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,56,False
2019-01-13,27,False
2019-01-20,27,False
2019-01-27,54,False
2019-02-03,27,False
2019-02-10,27,False
2019-02-17,27,False
2019-02-24,42,False
2019-03-03,41,False
2019-03-10,27,False
2019-03-17,55,False
2019-03-24,27,False
2019-03-31,27,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,82,False
2019-05-19,27,False
2019-05-26,28,False
2019-06-02,27,False
2019-06-09,27,False
2019-06-16,42,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,30,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,79,False
2019-08-18,0,False
2019-08-25,27,False
2019-09-01,53,False
2019-09-08,27,False
2019-09-15,28,False
2019-09-22,27,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,25,False
2019-10-27,0,False
2019-11-03,25,False
2019-11-10,33,False
2019-11-17,38,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,25,False
2019-12-15,26,False
2019-12-22,30,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,25,False
2020-01-19,37,False
2020-01-26,24,False
2020-02-02,48,False
2020-02-09,24,False
2020-02-16,100,False
2020-02-23,24,False
2020-03-01,24,False
2020-03-08,34,False
2020-03-15,22,False
2020-03-22,0,False
2020-03-29,23,False
2020-04-05,25,False
2020-04-12,71,False
2020-04-19,46,False
2020-04-26,46,False
2020-05-03,46,False
2020-05-10,0,False
2020-05-17,0,True
