date,feste private,isPartial
2018-01-07,28,False
2018-01-14,0,False
2018-01-21,25,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,27,False
2018-02-18,27,False
2018-02-25,26,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,29,False
2018-04-01,0,False
2018-04-08,27,False
2018-04-15,28,False
2018-04-22,0,False
2018-04-29,28,False
2018-05-06,54,False
2018-05-13,28,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,30,False
2018-07-08,30,False
2018-07-15,31,False
2018-07-22,31,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,41,False
2018-08-19,37,False
2018-08-26,0,False
2018-09-02,30,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,30,False
2018-09-30,29,False
2018-10-07,0,False
2018-10-14,30,False
2018-10-21,29,False
2018-10-28,29,False
2018-11-04,0,False
2018-11-11,28,False
2018-11-18,27,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,27,False
2019-01-13,54,False
2019-01-20,0,False
2019-01-27,100,False
2019-02-03,25,False
2019-02-10,0,False
2019-02-17,51,False
2019-02-24,0,False
2019-03-03,27,False
2019-03-10,0,False
2019-03-17,54,False
2019-03-24,0,False
2019-03-31,26,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,26,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,27,False
2019-06-23,54,False
2019-06-30,54,False
2019-07-07,81,False
2019-07-14,0,False
2019-07-21,29,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,27,False
2019-09-01,0,False
2019-09-08,26,False
2019-09-15,49,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,0,False
2019-10-13,25,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,24,False
2019-11-10,24,False
2019-11-17,24,False
2019-11-24,35,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,27,False
2020-01-05,23,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,23,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,42,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,34,True
