date,moda uomo,isPartial
2018-01-07,82,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,0,False
2018-02-04,52,False
2018-02-11,27,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,26,False
2018-03-18,0,False
2018-03-25,84,False
2018-04-01,58,False
2018-04-08,27,False
2018-04-15,28,False
2018-04-22,0,False
2018-04-29,28,False
2018-05-06,27,False
2018-05-13,0,False
2018-05-20,27,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,0,False
2018-06-24,54,False
2018-07-01,53,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,27,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,27,False
2018-09-16,0,False
2018-09-23,53,False
2018-09-30,82,False
2018-10-07,56,False
2018-10-14,28,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,53,False
2018-12-02,28,False
2018-12-09,79,False
2018-12-16,0,False
2018-12-23,30,False
2018-12-30,28,False
2019-01-06,50,False
2019-01-13,25,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,25,False
2019-03-03,25,False
2019-03-10,50,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,100,False
2019-04-14,52,False
2019-04-21,26,False
2019-04-28,0,False
2019-05-05,24,False
2019-05-12,0,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,25,False
2019-06-09,25,False
2019-06-16,25,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,46,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,23,False
2019-08-25,45,False
2019-09-01,0,False
2019-09-08,24,False
2019-09-15,47,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,47,False
2019-10-20,0,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,68,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,72,False
2019-12-22,81,False
2019-12-29,0,False
2020-01-05,67,False
2020-01-12,21,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,21,False
2020-02-09,22,False
2020-02-16,0,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,18,False
2020-04-05,19,False
2020-04-12,0,False
2020-04-19,36,False
2020-04-26,0,True
