date,mariage traiteur,vegan mariage ,gateau mariage_x,poisson mariage ,buffet mariage,isPartial_x,gateau mariage_y,mariage champagne,viande mariage ,mariage cocktail,isPartial_y
2018-01-07,0,0,0,0,0,False,0,0,0,0,False
2018-01-14,0,0,31,0,0,False,31,0,0,0,False
2018-01-21,31,0,0,0,0,False,0,0,0,0,False
2018-01-28,31,0,31,0,0,False,31,0,0,0,False
2018-02-04,31,0,0,0,0,False,0,0,0,0,False
2018-02-11,0,0,32,0,0,False,32,0,0,0,False
2018-02-18,32,0,0,0,0,False,0,0,0,0,False
2018-02-25,31,0,47,0,0,False,47,0,0,0,False
2018-03-04,0,0,0,0,0,False,0,0,0,0,False
2018-03-11,0,0,0,0,0,False,0,0,0,0,False
2018-03-18,0,0,32,0,0,False,32,0,0,0,False
2018-03-25,0,0,63,0,0,False,63,0,0,0,False
2018-04-01,0,0,0,0,0,False,0,0,0,0,False
2018-04-08,0,0,0,0,0,False,0,0,0,0,False
2018-04-15,0,0,0,0,0,False,0,0,0,0,False
2018-04-22,0,0,0,0,0,False,0,0,0,0,False
2018-04-29,0,0,0,0,0,False,0,0,0,0,False
2018-05-06,0,0,33,0,0,False,33,0,0,0,False
2018-05-13,0,0,0,0,0,False,0,0,0,0,False
2018-05-20,0,0,32,0,0,False,32,0,0,0,False
2018-05-27,62,0,32,0,0,False,32,0,0,0,False
2018-06-03,46,0,0,0,0,False,0,0,0,0,False
2018-06-10,0,0,30,0,0,False,30,0,0,0,False
2018-06-17,32,0,32,0,0,False,32,0,0,0,False
2018-06-24,0,0,32,0,0,False,32,0,0,0,False
2018-07-01,0,0,0,0,0,False,0,0,0,0,False
2018-07-08,0,0,0,0,0,False,0,0,0,0,False
2018-07-15,0,0,50,0,0,False,50,0,0,0,False
2018-07-22,0,0,33,0,0,False,33,0,0,0,False
2018-07-29,0,0,0,0,0,False,0,0,0,0,False
2018-08-05,0,0,31,0,0,False,31,0,0,0,False
2018-08-12,31,0,0,0,0,False,0,0,0,0,False
2018-08-19,0,0,0,0,0,False,0,0,0,0,False
2018-08-26,63,0,31,0,0,False,31,0,0,0,False
2018-09-02,0,0,0,0,0,False,0,0,0,0,False
2018-09-09,32,0,0,0,0,False,0,0,0,0,False
2018-09-16,0,0,0,0,0,False,0,0,0,0,False
2018-09-23,32,0,0,0,0,False,0,0,0,0,False
2018-09-30,32,0,0,0,0,False,0,0,0,0,False
2018-10-07,66,0,0,0,0,False,0,0,0,0,False
2018-10-14,33,0,66,0,0,False,66,0,0,0,False
2018-10-21,0,0,0,0,0,False,0,0,0,0,False
2018-10-28,31,0,0,0,0,False,0,0,0,0,False
2018-11-04,0,0,0,0,0,False,0,0,0,0,False
2018-11-11,32,0,32,0,0,False,32,0,0,0,False
2018-11-18,31,0,31,0,0,False,31,0,0,0,False
2018-11-25,63,0,31,0,0,False,31,0,0,0,False
2018-12-02,0,0,0,0,0,False,0,0,0,0,False
2018-12-09,0,0,0,0,0,False,0,0,0,0,False
2018-12-16,0,0,67,0,0,False,67,0,0,0,False
2018-12-23,0,0,0,0,0,False,0,0,0,0,False
2018-12-30,0,0,0,0,0,False,0,0,0,0,False
2019-01-06,63,0,31,0,0,False,31,0,0,0,False
2019-01-13,32,0,0,0,0,False,0,0,0,0,False
2019-01-20,30,0,61,0,0,False,61,0,0,0,False
2019-01-27,0,0,31,0,0,False,31,0,0,0,False
2019-02-03,0,0,0,0,0,False,0,0,0,0,False
2019-02-10,0,0,100,0,0,False,100,0,0,0,False
2019-02-17,33,0,0,0,0,False,0,0,0,0,False
2019-02-24,0,0,0,0,0,False,0,0,0,0,False
2019-03-03,0,0,30,0,0,False,30,0,0,0,False
2019-03-10,0,0,0,0,0,False,0,0,0,0,False
2019-03-17,32,0,0,0,0,False,0,0,0,0,False
2019-03-24,0,0,0,0,0,False,0,0,0,0,False
2019-03-31,0,0,32,0,0,False,32,0,0,0,False
2019-04-07,33,0,34,0,0,False,34,0,0,0,False
2019-04-14,33,0,0,0,0,False,0,0,0,0,False
2019-04-21,31,0,31,0,0,False,31,0,0,0,False
2019-04-28,0,0,60,0,0,False,60,0,0,0,False
2019-05-05,30,0,0,0,0,False,0,0,0,0,False
2019-05-12,0,0,0,0,0,False,0,0,0,0,False
2019-05-19,31,0,31,0,0,False,31,0,0,0,False
2019-05-26,0,0,30,0,0,False,30,0,0,0,False
2019-06-02,0,0,0,0,0,False,0,0,0,0,False
2019-06-09,0,0,0,0,0,False,0,0,0,0,False
2019-06-16,0,0,0,0,0,False,0,0,0,0,False
2019-06-23,31,0,0,0,0,False,0,0,0,0,False
2019-06-30,31,0,0,0,0,False,0,0,0,0,False
2019-07-07,30,0,0,0,0,False,0,0,0,0,False
2019-07-14,0,0,30,0,0,False,30,0,0,0,False
2019-07-21,0,0,62,0,0,False,62,0,0,0,False
2019-07-28,0,0,0,0,0,False,0,0,0,0,False
2019-08-04,0,0,30,0,0,False,30,0,0,0,False
2019-08-11,0,0,0,0,0,False,0,0,0,0,False
2019-08-18,31,0,30,0,0,False,30,0,0,0,False
2019-08-25,44,0,29,0,0,False,29,0,0,0,False
2019-09-01,29,0,0,0,0,False,0,0,0,0,False
2019-09-08,30,0,0,0,0,False,0,0,0,0,False
