,Unnamed: 0,date,means
0,0,2018-01-07,90.0
1,1,2018-01-14,69.0
2,2,2018-01-21,82.0
3,3,2018-01-28,88.0
4,4,2018-02-04,81.0
5,5,2018-02-11,80.0
6,6,2018-02-18,75.0
7,7,2018-02-25,65.0
8,8,2018-03-04,87.0
9,9,2018-03-11,85.0
10,10,2018-03-18,77.0
11,11,2018-03-25,75.0
12,12,2018-04-01,86.0
13,13,2018-04-08,77.0
14,14,2018-04-15,70.0
15,15,2018-04-22,80.0
16,16,2018-04-29,75.0
17,17,2018-05-06,61.0
18,18,2018-05-13,86.0
19,19,2018-05-20,74.0
20,20,2018-05-27,69.0
21,21,2018-06-03,79.0
22,22,2018-06-10,79.0
23,23,2018-06-17,70.0
24,24,2018-06-24,80.0
25,25,2018-07-01,71.0
26,26,2018-07-08,72.0
27,27,2018-07-15,82.0
28,28,2018-07-22,79.0
29,29,2018-07-29,77.0
30,30,2018-08-05,72.0
31,31,2018-08-12,83.0
32,32,2018-08-19,84.0
33,33,2018-08-26,80.0
34,34,2018-09-02,88.0
35,35,2018-09-09,80.0
36,36,2018-09-16,83.0
37,37,2018-09-23,69.0
38,38,2018-09-30,73.0
39,39,2018-10-07,72.0
40,40,2018-10-14,87.0
41,41,2018-10-21,89.0
42,42,2018-10-28,91.0
43,43,2018-11-04,72.0
44,44,2018-11-11,80.0
45,45,2018-11-18,61.0
46,46,2018-11-25,84.0
47,47,2018-12-02,79.0
48,48,2018-12-09,64.0
49,49,2018-12-16,81.0
50,50,2018-12-23,67.0
51,51,2018-12-30,100.0
52,52,2019-01-06,88.0
53,53,2019-01-13,88.0
54,54,2019-01-20,92.0
55,55,2019-01-27,74.0
56,56,2019-02-03,80.0
57,57,2019-02-10,92.0
58,58,2019-02-17,90.0
59,59,2019-02-24,90.0
60,60,2019-03-03,87.0
61,61,2019-03-10,88.0
62,62,2019-03-17,92.0
63,63,2019-03-24,96.0
64,64,2019-03-31,83.0
65,65,2019-04-07,95.0
66,66,2019-04-14,85.0
67,67,2019-04-21,81.0
68,68,2019-04-28,84.0
69,69,2019-05-05,87.0
70,70,2019-05-12,94.0
71,71,2019-05-19,86.0
72,72,2019-05-26,86.0
73,73,2019-06-02,83.0
74,74,2019-06-09,95.0
75,75,2019-06-16,82.0
76,76,2019-06-23,98.0
77,77,2019-06-30,85.0
78,78,2019-07-07,87.0
79,79,2019-07-14,79.0
80,80,2019-07-21,69.0
81,81,2019-07-28,93.0
82,82,2019-08-04,79.0
83,83,2019-08-11,77.0
84,84,2019-08-18,100.0
85,85,2019-08-25,79.0
86,86,2019-09-01,95.0
87,87,2019-09-08,82.0
88,88,2019-09-15,94.0
89,89,2019-09-22,97.0
90,90,2019-09-29,80.0
91,91,2019-10-06,84.0
92,92,2019-10-13,85.0
93,93,2019-10-20,97.0
94,94,2019-10-27,90.0
95,95,2019-11-03,88.0
96,96,2019-11-10,92.0
97,97,2019-11-17,80.0
98,98,2019-11-24,71.0
99,99,2019-12-01,75.0
100,100,2019-12-08,83.0
101,101,2019-12-15,74.0
102,102,2019-12-22,71.0
103,103,2019-12-29,89.0
104,104,2020-01-05,75.0
105,105,2020-01-12,80.0
106,106,2020-01-19,82.0
107,107,2020-01-26,81.0
108,108,2020-02-02,85.0
109,109,2020-02-09,76.0
110,110,2020-02-16,72.0
111,111,2020-02-23,85.0
112,112,2020-03-01,86.0
113,113,2020-03-08,80.0
114,114,2020-03-15,77.0
115,115,2020-03-22,77.0
116,116,2020-03-29,78.0
117,117,2020-04-05,78.0
118,118,2020-04-12,83.0
119,119,2020-04-19,78.0
120,120,2020-04-26,83.0
121,121,2020-05-03,86.0
122,122,2020-05-10,90.0
