date,Deko Hochzeit,isPartial
2018-01-07,50,False
2018-01-14,0,False
2018-01-21,50,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,50,False
2018-02-25,73,False
2018-03-04,0,False
2018-03-11,49,False
2018-03-18,0,False
2018-03-25,53,False
2018-04-01,52,False
2018-04-08,53,False
2018-04-15,55,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,53,False
2018-05-20,0,False
2018-05-27,100,False
2018-06-03,52,False
2018-06-10,0,False
2018-06-17,50,False
2018-06-24,51,False
2018-07-01,53,False
2018-07-08,0,False
2018-07-15,54,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,51,False
2018-08-26,51,False
2018-09-02,51,False
2018-09-09,50,False
2018-09-16,51,False
2018-09-23,50,False
2018-09-30,54,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,49,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,52,False
2018-12-30,0,False
2019-01-06,45,False
2019-01-13,45,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,45,False
2019-02-10,48,False
2019-02-17,47,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,45,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,45,False
2019-05-12,0,False
2019-05-19,93,False
2019-05-26,47,False
2019-06-02,47,False
2019-06-09,46,False
2019-06-16,47,False
2019-06-23,47,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,51,False
2019-07-28,73,False
2019-08-04,49,False
2019-08-11,93,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,45,False
2019-10-06,0,False
2019-10-13,43,False
2019-10-20,0,False
2019-10-27,42,False
2019-11-03,0,False
2019-11-10,42,False
2019-11-17,83,False
2019-11-24,41,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,44,False
2019-12-29,43,False
2020-01-05,40,False
2020-01-12,39,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,78,False
2020-02-09,40,False
2020-02-16,59,False
2020-02-23,78,False
2020-03-01,39,False
2020-03-08,73,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,34,False
2020-04-05,39,False
2020-04-12,0,True
