date,Landschaft,isPartial
2018-01-07,41,False
2018-01-14,82,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,39,False
2018-02-18,0,False
2018-02-25,39,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,100,False
2018-05-27,50,False
2018-06-03,48,False
2018-06-10,0,False
2018-06-17,48,False
2018-06-24,0,False
2018-07-01,46,False
2018-07-08,0,False
2018-07-15,48,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,46,False
2018-10-07,48,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,51,False
2018-11-04,48,False
2018-11-11,0,False
2018-11-18,46,False
2018-11-25,0,False
2018-12-02,45,False
2018-12-09,0,False
2018-12-16,47,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,79,False
2019-02-03,0,False
2019-02-10,43,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,41,False
2019-03-10,42,False
2019-03-17,44,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,44,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,44,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,89,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,43,False
2019-10-13,0,False
2019-10-20,86,False
2019-10-27,43,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,83,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,36,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,35,False
2020-02-09,0,False
2020-02-16,35,False
2020-02-23,33,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,36,False
2020-03-22,0,False
2020-03-29,33,False
2020-04-05,74,False
2020-04-12,35,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,38,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,0,False
2020-06-21,37,False
2020-06-28,36,False
2020-07-05,0,False
