date,Sperrmüllcontainer,isPartial
2018-01-07,59,False
2018-01-14,0,False
2018-01-21,39,False
2018-01-28,39,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,40,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,44,False
2018-04-01,44,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,84,False
2018-05-06,0,False
2018-05-13,40,False
2018-05-20,0,False
2018-05-27,43,False
2018-06-03,40,False
2018-06-10,79,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,38,False
2018-07-22,0,False
2018-07-29,40,False
2018-08-05,42,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,43,False
2018-09-02,85,False
2018-09-09,61,False
2018-09-16,0,False
2018-09-23,41,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,40,False
2018-10-21,0,False
2018-10-28,40,False
2018-11-04,38,False
2018-11-11,78,False
2018-11-18,38,False
2018-11-25,39,False
2018-12-02,38,False
2018-12-09,0,False
2018-12-16,40,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,36,False
2019-01-20,36,False
2019-01-27,37,False
2019-02-03,0,False
2019-02-10,37,False
2019-02-17,38,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,37,False
2019-03-17,39,False
2019-03-24,40,False
2019-03-31,0,False
2019-04-07,58,False
2019-04-14,0,False
2019-04-21,41,False
2019-04-28,38,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,37,False
2019-05-26,39,False
2019-06-02,0,False
2019-06-09,41,False
2019-06-16,100,False
2019-06-23,39,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,38,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,40,False
2019-08-11,41,False
2019-08-18,41,False
2019-08-25,41,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,37,False
2019-10-13,36,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,35,False
2019-11-10,0,False
2019-11-17,36,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,43,False
2019-12-29,0,False
2020-01-05,35,False
2020-01-12,0,False
2020-01-19,34,False
2020-01-26,34,False
2020-02-02,69,False
2020-02-09,33,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,33,False
2020-03-08,31,False
2020-03-15,0,False
2020-03-22,41,False
2020-03-29,62,False
2020-04-05,34,False
2020-04-12,32,False
2020-04-19,63,False
2020-04-26,31,False
2020-05-03,0,False
2020-05-10,32,False
