date,Sanitärtechnik,isPartial
2018-01-07,35,False
2018-01-14,35,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,72,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,72,False
2018-03-04,55,False
2018-03-11,36,False
2018-03-18,74,False
2018-03-25,39,False
2018-04-01,40,False
2018-04-08,38,False
2018-04-15,38,False
2018-04-22,74,False
2018-04-29,56,False
2018-05-06,38,False
2018-05-13,36,False
2018-05-20,38,False
2018-05-27,77,False
2018-06-03,0,False
2018-06-10,35,False
2018-06-17,35,False
2018-06-24,52,False
2018-07-01,0,False
2018-07-08,34,False
2018-07-15,52,False
2018-07-22,35,False
2018-07-29,36,False
2018-08-05,37,False
2018-08-12,39,False
2018-08-19,39,False
2018-08-26,0,False
2018-09-02,38,False
2018-09-09,36,False
2018-09-16,37,False
2018-09-23,37,False
2018-09-30,49,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,36,False
2018-10-28,36,False
2018-11-04,0,False
2018-11-11,35,False
2018-11-18,51,False
2018-11-25,35,False
2018-12-02,0,False
2018-12-09,34,False
2018-12-16,36,False
2018-12-23,84,False
2018-12-30,38,False
2019-01-06,33,False
2019-01-13,65,False
2019-01-20,33,False
2019-01-27,49,False
2019-02-03,33,False
2019-02-10,67,False
2019-02-17,34,False
2019-02-24,34,False
2019-03-03,35,False
2019-03-10,67,False
2019-03-17,36,False
2019-03-24,53,False
2019-03-31,36,False
2019-04-07,34,False
2019-04-14,0,False
2019-04-21,73,False
2019-04-28,34,False
2019-05-05,44,False
2019-05-12,34,False
2019-05-19,100,False
2019-05-26,35,False
2019-06-02,35,False
2019-06-09,36,False
2019-06-16,72,False
2019-06-23,0,False
2019-06-30,34,False
2019-07-07,33,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,69,False
2019-08-04,0,False
2019-08-11,36,False
2019-08-18,37,False
2019-08-25,54,False
2019-09-01,35,False
2019-09-08,34,False
2019-09-15,34,False
2019-09-22,33,False
2019-09-29,67,False
2019-10-06,33,False
2019-10-13,33,False
2019-10-20,32,False
2019-10-27,64,False
2019-11-03,63,False
2019-11-10,48,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,33,False
2019-12-08,98,False
2019-12-15,33,False
2019-12-22,38,False
2019-12-29,0,False
2020-01-05,31,False
2020-01-12,30,False
2020-01-19,31,False
2020-01-26,31,False
2020-02-02,30,False
2020-02-09,29,False
2020-02-16,31,False
2020-02-23,30,False
2020-03-01,30,False
2020-03-08,28,False
2020-03-15,27,False
2020-03-22,42,False
2020-03-29,28,False
2020-04-05,30,False
2020-04-12,29,False
2020-04-19,28,False
2020-04-26,28,False
2020-05-03,66,False
2020-05-10,28,False
