date,Architecte paysagiste
2018-01-07,0.51
2018-01-14,0.0
2018-01-21,0.0
2018-01-28,0.51
2018-02-04,0.51
2018-02-11,0.0
2018-02-18,0.0
2018-02-25,0.0
2018-03-04,0.0
2018-03-11,0.5
2018-03-18,0.5
2018-03-25,0.5
2018-04-01,0.0
2018-04-08,0.0
2018-04-15,0.54
2018-04-22,0.52
2018-04-29,0.0
2018-05-06,0.0
2018-05-13,0.0
2018-05-20,0.0
2018-05-27,0.0
2018-06-03,0.51
2018-06-10,0.49
2018-06-17,0.0
2018-06-24,0.0
2018-07-01,0.0
2018-07-08,0.53
2018-07-15,0.0
2018-07-22,0.0
2018-07-29,0.57
2018-08-05,0.0
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,0.0
2018-09-02,0.0
2018-09-09,0.0
2018-09-16,0.0
2018-09-23,0.0
2018-09-30,0.0
2018-10-07,0.0
2018-10-14,0.52
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,0.5
2018-11-11,0.0
2018-11-18,0.49
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.52
2018-12-23,0.58
2018-12-30,0.0
2019-01-06,0.0
2019-01-13,0.0
2019-01-20,0.47
2019-01-27,0.0
2019-02-03,0.0
2019-02-10,0.0
2019-02-17,0.0
2019-02-24,0.0
2019-03-03,0.48
2019-03-10,0.49
2019-03-17,0.5
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.48
2019-04-14,0.53
2019-04-21,0.0
2019-04-28,0.43
2019-05-05,0.0
2019-05-12,0.44
2019-05-19,0.0
2019-05-26,0.0
2019-06-02,0.41
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.48
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-11,0.54
2019-08-18,0.56
2019-08-25,1.0
2019-09-01,0.47
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,0.0
2019-09-29,0.0
2019-10-06,0.4
2019-10-13,0.0
2019-10-20,0.41
2019-10-27,0.0
2019-11-03,0.0
2019-11-10,0.0
2019-11-17,0.4
2019-11-24,0.39
2019-12-01,0.0
2019-12-08,0.0
2019-12-15,0.45
2019-12-22,0.48
2019-12-29,0.0
2020-01-05,0.0
2020-01-12,0.0
2020-01-19,0.39
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.35
2020-04-12,0.35
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.33
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.35
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
