date,Cross training
2018-01-07,0.25735294117647056
2018-01-14,0.0
2018-01-21,0.6102941176470589
2018-01-28,0.625
2018-02-04,0.0
2018-02-11,0.0
2018-02-18,0.27205882352941174
2018-02-25,0.34558823529411764
2018-03-04,0.35294117647058826
2018-03-11,0.3602941176470588
2018-03-18,0.27205882352941174
2018-03-25,0.36764705882352944
2018-04-01,0.6544117647058824
2018-04-08,0.0
2018-04-15,0.0
2018-04-22,0.0
2018-04-29,0.0
2018-05-06,0.0
2018-05-13,0.6323529411764706
2018-05-20,0.0
2018-05-27,0.0
2018-06-03,0.38235294117647056
2018-06-10,0.0
2018-06-17,0.0
2018-06-24,0.27205882352941174
2018-07-01,0.2647058823529412
2018-07-08,0.0
2018-07-15,0.40441176470588236
2018-07-22,0.0
2018-07-29,0.0
2018-08-05,0.0
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,0.6764705882352942
2018-09-02,0.39705882352941174
2018-09-09,0.6764705882352942
2018-09-16,0.0
2018-09-23,0.6764705882352942
2018-09-30,0.0
2018-10-07,0.5882352941176471
2018-10-14,0.2867647058823529
2018-10-21,0.39705882352941174
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.27205882352941174
2018-11-18,0.0
2018-11-25,0.6397058823529411
2018-12-02,0.0
2018-12-09,0.6470588235294118
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.38235294117647056
2019-01-06,1.0
2019-01-13,0.0
2019-01-20,0.0
2019-01-27,0.0
2019-02-03,0.6323529411764706
2019-02-10,0.5441176470588235
2019-02-17,0.39705882352941174
2019-02-24,0.0
2019-03-03,0.35294117647058826
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.375
2019-04-07,0.27205882352941174
2019-04-14,0.6764705882352942
2019-04-21,0.2647058823529412
2019-04-28,0.3602941176470588
2019-05-05,0.0
2019-05-12,0.375
2019-05-19,0.0
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.25
2019-06-16,0.0
2019-06-23,0.38235294117647056
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.3897058823529412
2019-07-21,0.0
2019-07-28,0.40441176470588236
2019-08-04,0.27941176470588236
2019-08-11,0.6764705882352942
2019-08-18,0.0
2019-08-25,0.0
2019-09-01,0.4264705882352941
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,0.7352941176470589
2019-09-29,0.25
2019-10-06,0.25
2019-10-13,0.0
2019-10-20,0.0
2019-10-27,0.0
2019-11-03,0.33088235294117646
2019-11-10,0.5735294117647058
2019-11-17,0.6691176470588235
2019-11-24,0.3235294117647059
2019-12-01,0.8161764705882353
2019-12-08,0.23529411764705882
2019-12-15,0.0
2019-12-22,0.5882352941176471
2019-12-29,0.25
2020-01-05,0.5514705882352942
2020-01-12,0.0
2020-01-19,0.23529411764705882
2020-01-26,0.0
2020-02-02,0.22794117647058823
2020-02-09,0.22794117647058823
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,0.22058823529411764
2020-03-15,0.47058823529411764
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.2647058823529412
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.3014705882352941
2020-05-24,0.0
2020-05-31,0.27205882352941174
2020-06-07,0.47058823529411764
2020-06-14,0.0
2020-06-21,0.0
