date,faire son jardin
2018-01-07,0.11
2018-01-14,0.19
2018-01-21,0.11
2018-01-28,0.11
2018-02-04,0.11
2018-02-11,0.2
2018-02-18,0.425
2018-02-25,0.54
2018-03-04,0.5
2018-03-11,0.215
2018-03-18,0.11
2018-03-25,0.225
2018-04-01,0.17
2018-04-08,0.365
2018-04-15,0.125
2018-04-22,0.49
2018-04-29,0.115
2018-05-06,0.12
2018-05-13,0.335
2018-05-20,0.115
2018-05-27,0.17
2018-06-03,0.32
2018-06-10,0.11
2018-06-17,0.0
2018-06-24,0.115
2018-07-01,0.0
2018-07-08,0.115
2018-07-15,0.0
2018-07-22,0.22
2018-07-29,0.125
2018-08-05,0.0
2018-08-12,0.355
2018-08-19,0.345
2018-08-26,0.115
2018-09-02,0.0
2018-09-09,0.12
2018-09-16,0.12
2018-09-23,0.33
2018-09-30,0.0
2018-10-07,0.325
2018-10-14,0.115
2018-10-21,0.12
2018-10-28,0.115
2018-11-04,0.11
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,0.225
2018-12-09,0.115
2018-12-16,0.0
2018-12-23,0.22
2018-12-30,0.12
2019-01-06,0.0
2019-01-13,0.31
2019-01-20,0.0
2019-01-27,0.0
2019-02-03,0.11
2019-02-10,0.11
2019-02-17,0.15
2019-02-24,0.165
2019-03-03,0.305
2019-03-10,0.215
2019-03-17,0.115
2019-03-24,0.43
2019-03-31,0.615
2019-04-07,0.205
2019-04-14,0.0
2019-04-21,0.22
2019-04-28,0.155
2019-05-05,0.195
2019-05-12,0.105
2019-05-19,0.485
2019-05-26,0.0
2019-06-02,0.105
2019-06-09,0.2
2019-06-16,0.42
2019-06-23,0.11
2019-06-30,0.0
2019-07-07,0.155
2019-07-14,0.16
2019-07-21,0.11
2019-07-28,0.325
2019-08-04,0.11
2019-08-11,0.35
2019-08-18,0.385
2019-08-25,0.225
2019-09-01,0.1
2019-09-08,0.135
2019-09-15,0.1
2019-09-22,0.1
2019-09-29,0.0
2019-10-06,0.0
2019-10-13,0.295
2019-10-20,0.1
2019-10-27,0.1
2019-11-03,0.19
2019-11-10,0.1
2019-11-17,0.275
2019-11-24,0.14
2019-12-01,0.095
2019-12-08,0.0
2019-12-15,0.095
2019-12-22,0.21
2019-12-29,0.1
2020-01-05,0.095
2020-01-12,0.355
2020-01-19,0.095
2020-01-26,0.09
2020-02-02,0.0
2020-02-09,0.09
2020-02-16,0.39
2020-02-23,0.09
2020-03-01,0.09
2020-03-08,0.165
2020-03-15,0.775
2020-03-22,0.415
2020-03-29,0.485
2020-04-05,1.0
2020-04-12,0.425
2020-04-19,0.485
2020-04-26,0.12
2020-05-03,0.275
2020-05-10,0.0
2020-05-17,0.51
