date,Altöl entsorgen,isPartial
2018-01-07,32,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,32,False
2018-02-04,32,False
2018-02-11,0,False
2018-02-18,32,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,31,False
2018-03-18,0,False
2018-03-25,84,False
2018-04-01,34,False
2018-04-08,33,False
2018-04-15,50,False
2018-04-22,65,False
2018-04-29,34,False
2018-05-06,34,False
2018-05-13,49,False
2018-05-20,35,False
2018-05-27,0,False
2018-06-03,33,False
2018-06-10,63,False
2018-06-17,32,False
2018-06-24,32,False
2018-07-01,0,False
2018-07-08,32,False
2018-07-15,0,False
2018-07-22,33,False
2018-07-29,34,False
2018-08-05,35,False
2018-08-12,71,False
2018-08-19,36,False
2018-08-26,35,False
2018-09-02,67,False
2018-09-09,0,False
2018-09-16,65,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,32,False
2018-10-14,63,False
2018-10-21,31,False
2018-10-28,0,False
2018-11-04,46,False
2018-11-11,31,False
2018-11-18,0,False
2018-11-25,30,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,0,False
2019-01-13,29,False
2019-01-20,29,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,30,False
2019-02-17,45,False
2019-02-24,31,False
2019-03-03,0,False
2019-03-10,29,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,60,False
2019-04-14,81,False
2019-04-21,32,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,40,False
2019-05-19,44,False
2019-05-26,31,False
2019-06-02,30,False
2019-06-09,95,False
2019-06-16,32,False
2019-06-23,30,False
2019-06-30,30,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,42,False
2019-07-28,48,False
2019-08-04,0,False
2019-08-11,32,False
2019-08-18,55,False
2019-08-25,100,False
2019-09-01,78,False
2019-09-08,30,False
2019-09-15,31,False
2019-09-22,29,False
2019-09-29,30,False
2019-10-06,29,False
2019-10-13,28,False
2019-10-20,0,False
2019-10-27,43,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,28,False
2019-12-08,0,False
2019-12-15,29,False
2019-12-22,33,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,26,False
2020-01-19,27,False
2020-01-26,26,False
2020-02-02,27,False
2020-02-09,26,False
2020-02-16,0,False
2020-02-23,26,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,48,False
2020-03-22,0,False
2020-03-29,47,False
2020-04-05,26,False
2020-04-12,75,False
2020-04-19,36,False
2020-04-26,47,False
2020-05-03,47,False
2020-05-10,0,False
