date,coaching personnalisé,isPartial
2018-01-07,36,False
2018-01-14,36,False
2018-01-21,0,False
2018-01-28,37,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,38,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,74,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,38,False
2018-04-29,0,False
2018-05-06,39,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,37,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,37,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,41,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,38,False
2018-09-30,38,False
2018-10-07,38,False
2018-10-14,38,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,36,False
2018-11-25,74,False
2018-12-02,0,False
2018-12-09,37,False
2018-12-16,38,False
2018-12-23,0,False
2018-12-30,40,False
2019-01-06,37,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,38,False
2019-02-17,38,False
2019-02-24,37,False
2019-03-03,36,False
2019-03-10,37,False
2019-03-17,38,False
2019-03-24,0,False
2019-03-31,37,False
2019-04-07,0,False
2019-04-14,77,False
2019-04-21,38,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,36,False
2019-05-26,37,False
2019-06-02,69,False
2019-06-09,35,False
2019-06-16,37,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,37,False
2019-07-21,38,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,39,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,35,False
2019-09-08,0,False
2019-09-15,35,False
2019-09-22,51,False
2019-09-29,34,False
2019-10-06,51,False
2019-10-13,34,False
2019-10-20,34,False
2019-10-27,0,False
2019-11-03,100,False
2019-11-10,34,False
2019-11-17,0,False
2019-11-24,32,False
2019-12-01,33,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,37,False
2019-12-29,35,False
2020-01-05,65,False
2020-01-12,0,False
2020-01-19,33,False
2020-01-26,32,False
2020-02-02,32,False
2020-02-09,32,False
2020-02-16,0,False
2020-02-23,62,False
2020-03-01,0,False
2020-03-08,61,False
2020-03-15,0,False
2020-03-22,29,False
2020-03-29,28,False
2020-04-05,0,False
2020-04-12,29,False
2020-04-19,0,False
2020-04-26,27,False
2020-05-03,27,False
2020-05-10,0,False
2020-05-17,0,True
