date,Rolladen nachrüsten,isPartial
2018-01-07,35,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,36,False
2018-02-04,0,False
2018-02-11,36,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,36,False
2018-03-18,36,False
2018-03-25,0,False
2018-04-01,38,False
2018-04-08,38,False
2018-04-15,39,False
2018-04-22,37,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,38,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,36,False
2018-06-17,0,False
2018-06-24,39,False
2018-07-01,38,False
2018-07-08,38,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,36,False
2018-08-05,36,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,36,False
2018-09-02,36,False
2018-09-09,0,False
2018-09-16,37,False
2018-09-23,37,False
2018-09-30,39,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,36,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,34,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,33,False
2019-01-13,0,False
2019-01-20,33,False
2019-01-27,33,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,36,False
2019-03-03,34,False
2019-03-10,33,False
2019-03-17,35,False
2019-03-24,0,False
2019-03-31,35,False
2019-04-07,0,False
2019-04-14,37,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,100,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,35,False
2019-06-02,0,False
2019-06-09,35,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,36,False
2019-07-07,36,False
2019-07-14,36,False
2019-07-21,38,False
2019-07-28,37,False
2019-08-04,35,False
2019-08-11,34,False
2019-08-18,35,False
2019-08-25,34,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,35,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,33,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,32,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,32,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,31,False
2020-01-12,44,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,29,False
2020-02-16,31,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,27,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,27,False
2020-04-19,0,False
2020-04-26,25,False
2020-05-03,26,False
2020-05-10,27,False
