date,moustiquaire fenêtre
2018-01-07,0.0
2018-01-14,0.0
2018-01-21,0.0
2018-01-28,0.0
2018-02-04,0.0
2018-02-11,0.0
2018-02-18,0.0
2018-02-25,0.0
2018-03-04,0.11333333333333333
2018-03-11,0.0
2018-03-18,0.0
2018-03-25,0.11333333333333333
2018-04-01,0.0
2018-04-08,0.19333333333333333
2018-04-15,0.0
2018-04-22,0.11666666666666667
2018-04-29,0.19333333333333333
2018-05-06,0.5033333333333333
2018-05-13,0.0
2018-05-20,0.0
2018-05-27,0.11333333333333333
2018-06-03,0.19333333333333333
2018-06-10,0.4766666666666667
2018-06-17,0.11666666666666667
2018-06-24,0.0
2018-07-01,0.18666666666666668
2018-07-08,0.0
2018-07-15,0.12666666666666668
2018-07-22,0.12333333333333334
2018-07-29,0.25666666666666665
2018-08-05,0.0
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,0.0
2018-09-02,0.0
2018-09-09,0.0
2018-09-16,0.19333333333333333
2018-09-23,0.0
2018-09-30,0.11666666666666667
2018-10-07,0.0
2018-10-14,0.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.0
2019-01-06,0.0
2019-01-13,0.0
2019-01-20,0.0
2019-01-27,0.0
2019-02-03,0.0
2019-02-10,0.0
2019-02-17,0.0
2019-02-24,0.0
2019-03-03,0.0
2019-03-10,0.0
2019-03-17,0.12
2019-03-24,0.1
2019-03-31,0.1
2019-04-07,0.0
2019-04-14,0.2
2019-04-21,0.0
2019-04-28,0.09666666666666666
2019-05-05,0.0
2019-05-12,0.09666666666666666
2019-05-19,0.09666666666666666
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.1
2019-06-16,0.2833333333333333
2019-06-23,0.21
2019-06-30,0.3
2019-07-07,0.29
2019-07-14,0.0
2019-07-21,0.24333333333333335
2019-07-28,0.23333333333333334
2019-08-04,0.09666666666666666
2019-08-11,0.0
2019-08-18,0.0
2019-08-25,0.0
2019-09-01,0.0
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,0.0
2019-09-29,0.0
2019-10-06,0.0
2019-10-13,0.0
2019-10-20,0.0
2019-10-27,0.0
2019-11-03,0.0
2019-11-10,0.0
2019-11-17,0.0
2019-11-24,0.0
2019-12-01,0.0
2019-12-08,0.0
2019-12-15,0.0
2019-12-22,0.0
2019-12-29,0.0
2020-01-05,0.0
2020-01-12,0.15333333333333332
2020-01-19,0.0
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,0.08666666666666667
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,0.20666666666666667
2020-03-29,0.08
2020-04-05,0.33666666666666667
2020-04-12,0.21666666666666667
2020-04-19,0.16333333333333333
2020-04-26,0.19666666666666666
2020-05-03,0.4533333333333333
2020-05-10,0.2966666666666667
2020-05-17,0.32666666666666666
2020-05-24,0.6266666666666667
2020-05-31,0.26
2020-06-07,0.2833333333333333
2020-06-14,0.30666666666666664
2020-06-21,1.0
