date,Zaunbau,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,23,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,0,False
2018-02-25,24,False
2018-03-04,23,False
2018-03-11,35,False
2018-03-18,24,False
2018-03-25,38,False
2018-04-01,78,False
2018-04-08,25,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,39,False
2018-05-13,49,False
2018-05-20,25,False
2018-05-27,26,False
2018-06-03,25,False
2018-06-10,0,False
2018-06-17,36,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,38,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,24,False
2018-09-02,0,False
2018-09-09,25,False
2018-09-16,0,False
2018-09-23,100,False
2018-09-30,24,False
2018-10-07,0,False
2018-10-14,25,False
2018-10-21,25,False
2018-10-28,0,False
2018-11-04,24,False
2018-11-11,49,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,36,False
2018-12-16,25,False
2018-12-23,0,False
2018-12-30,24,False
2019-01-06,0,False
2019-01-13,45,False
2019-01-20,22,False
2019-01-27,22,False
2019-02-03,0,False
2019-02-10,45,False
2019-02-17,56,False
2019-02-24,22,False
2019-03-03,45,False
2019-03-10,33,False
2019-03-17,46,False
2019-03-24,46,False
2019-03-31,24,False
2019-04-07,23,False
2019-04-14,38,False
2019-04-21,25,False
2019-04-28,23,False
2019-05-05,23,False
2019-05-12,46,False
2019-05-19,23,False
2019-05-26,23,False
2019-06-02,24,False
2019-06-09,24,False
2019-06-16,47,False
2019-06-23,24,False
2019-06-30,24,False
2019-07-07,47,False
2019-07-14,49,False
2019-07-21,25,False
2019-07-28,24,False
2019-08-04,0,False
2019-08-11,24,False
2019-08-18,23,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,23,False
2019-09-15,34,False
2019-09-22,0,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,0,False
2019-10-20,44,False
2019-10-27,22,False
2019-11-03,0,False
2019-11-10,21,False
2019-11-17,65,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,24,False
2019-12-29,23,False
2020-01-05,21,False
2020-01-12,39,False
2020-01-19,40,False
2020-01-26,40,False
2020-02-02,30,False
2020-02-09,20,False
2020-02-16,0,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,0,False
2020-03-15,19,False
2020-03-22,18,False
2020-03-29,28,False
2020-04-05,0,False
2020-04-12,30,False
2020-04-19,58,False
2020-04-26,38,False
2020-05-03,40,False
2020-05-10,68,False
2020-05-17,0,False
2020-05-24,39,False
2020-05-31,0,False
2020-06-07,40,False
2020-06-14,38,False
2020-06-21,20,False
2020-06-28,20,False
2020-07-05,21,False
