date,centre yoga
2018-01-07,0.65
2018-01-14,0.0
2018-01-21,0.94
2018-01-28,0.33
2018-02-04,0.32
2018-02-11,0.65
2018-02-18,0.33
2018-02-25,0.46
2018-03-04,0.31
2018-03-11,0.32
2018-03-18,0.33
2018-03-25,0.66
2018-04-01,0.34
2018-04-08,0.34
2018-04-15,0.37
2018-04-22,0.51
2018-04-29,0.67
2018-05-06,0.0
2018-05-13,0.0
2018-05-20,0.0
2018-05-27,0.67
2018-06-03,0.34
2018-06-10,0.33
2018-06-17,0.35
2018-06-24,0.34
2018-07-01,0.66
2018-07-08,0.51
2018-07-15,0.35
2018-07-22,0.36
2018-07-29,0.0
2018-08-05,0.55
2018-08-12,0.76
2018-08-19,0.74
2018-08-26,0.57
2018-09-02,0.86
2018-09-09,0.69
2018-09-16,0.35
2018-09-23,0.52
2018-09-30,0.34
2018-10-07,0.34
2018-10-14,0.0
2018-10-21,0.0
2018-10-28,0.69
2018-11-04,0.0
2018-11-11,0.34
2018-11-18,0.55
2018-11-25,0.67
2018-12-02,0.5
2018-12-09,0.0
2018-12-16,0.51
2018-12-23,0.37
2018-12-30,0.0
2019-01-06,0.32
2019-01-13,0.33
2019-01-20,0.47
2019-01-27,0.31
2019-02-03,0.32
2019-02-10,0.0
2019-02-17,0.67
2019-02-24,0.33
2019-03-03,0.31
2019-03-10,0.48
2019-03-17,1.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,0.32
2019-04-21,0.32
2019-04-28,0.0
2019-05-05,0.3
2019-05-12,0.0
2019-05-19,0.31
2019-05-26,0.0
2019-06-02,0.61
2019-06-09,0.59
2019-06-16,0.32
2019-06-23,0.32
2019-06-30,0.32
2019-07-07,0.31
2019-07-14,0.0
2019-07-21,0.48
2019-07-28,0.33
2019-08-04,0.66
2019-08-11,0.35
2019-08-18,0.36
2019-08-25,0.55
2019-09-01,0.6
2019-09-08,0.9
2019-09-15,0.0
2019-09-22,0.44
2019-09-29,0.46
2019-10-06,0.0
2019-10-13,0.3
2019-10-20,0.6
2019-10-27,0.59
2019-11-03,0.43
2019-11-10,0.57
2019-11-17,0.29
2019-11-24,0.69
2019-12-01,0.42
2019-12-08,0.28
2019-12-15,0.28
2019-12-22,0.31
2019-12-29,0.3
2020-01-05,0.0
2020-01-12,0.41
2020-01-19,0.54
2020-01-26,0.4
2020-02-02,0.27
2020-02-09,0.66
2020-02-16,0.26
2020-02-23,0.52
2020-03-01,0.4
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,0.24
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.49
2020-04-19,0.0
2020-04-26,0.47
2020-05-03,0.0
2020-05-10,0.97
2020-05-17,0.27
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.37
2020-06-14,0.0
2020-06-21,0.0
