date,limusina,isPartial
2018-01-07,48,False
2018-01-14,49,False
2018-01-21,0,False
2018-01-28,49,False
2018-02-04,0,False
2018-02-11,50,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,47,False
2018-03-11,0,False
2018-03-18,100,False
2018-03-25,0,False
2018-04-01,47,False
2018-04-08,0,False
2018-04-15,73,False
2018-04-22,0,False
2018-04-29,49,False
2018-05-06,48,False
2018-05-13,51,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,92,False
2018-06-10,45,False
2018-06-17,52,False
2018-06-24,0,False
2018-07-01,96,False
2018-07-08,48,False
2018-07-15,49,False
2018-07-22,0,False
2018-07-29,48,False
2018-08-05,91,False
2018-08-12,0,False
2018-08-19,48,False
2018-08-26,47,False
2018-09-02,0,False
2018-09-09,49,False
2018-09-16,48,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,98,False
2018-10-14,72,False
2018-10-21,48,False
2018-10-28,49,False
2018-11-04,0,False
2018-11-11,49,False
2018-11-18,0,False
2018-11-25,71,False
2018-12-02,0,False
2018-12-09,48,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,44,False
2019-01-27,45,False
2019-02-03,0,False
2019-02-10,47,False
2019-02-17,94,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,98,False
2019-03-31,46,False
2019-04-07,47,False
2019-04-14,0,False
2019-04-21,45,False
2019-04-28,47,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,47,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,45,False
2019-06-16,0,False
2019-06-23,46,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,47,False
2019-07-21,0,False
2019-07-28,47,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,65,False
2019-08-25,0,False
2019-09-01,44,False
2019-09-08,0,False
2019-09-15,44,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,42,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,42,False
2019-11-10,41,False
2019-11-17,42,False
2019-11-24,0,False
2019-12-01,44,False
2019-12-08,42,False
2019-12-15,0,False
2019-12-22,45,False
2019-12-29,46,False
2020-01-05,42,False
2020-01-12,39,False
2020-01-19,0,False
2020-01-26,39,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,80,False
2020-03-01,38,False
2020-03-08,0,False
2020-03-15,36,False
2020-03-22,35,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,60,True
